id,term,definition,source,url_source,explanation,source_explanation,url_source_explanation,key
5441,UF,Unité fonctionnelle,DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html,,,,ufunitéfonctionnelle
5443,UFAC,Union française des associations d'anciens combattants et de victimes de guerre,Sénat,https://www.senat.fr/histoire/sigles.html,,,,ufacunionfrançaisedesassociationsdancienscombattantsetdevictimesdeguerre
6286,UFE,Unité de Fonctionnement Élementaire,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,ufeunitédefonctionnementélementaire
5444,UFI,Unité fonctionnelle d’insertion,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,ufiunitéfonctionnelledinsertion
5445,UFJT,Union des foyers de jeunes travailleurs,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,ufjtuniondesfoyersdejeunestravailleurs
5442,UFR,Unité de formation et de recherche,Sénat,https://www.senat.fr/histoire/sigles.html,,,,ufrunitédeformationetderecherche
6284,UFV,Unité Française de Vérification,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,ufvunitéfrançaisedevérification
5449,UGAP,Union des groupements d'achats publics,Sénat,https://www.senat.fr/histoire/sigles.html,,,,ugapuniondesgroupementsdachatspublics
5452,UGB,Unité de gros bétail,Sénat,https://www.senat.fr/histoire/sigles.html,,,,ugbunitédegrosbétail
5455,UGBA,Unité gros bétail azote.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,ugbaunitégrosbétailazote
5456,UGC,Union générale cinématographique,Sénat,https://www.senat.fr/histoire/sigles.html,,,,ugcuniongénéralecinématographique
5457,UGECAM,Union pour la Gestion des Établissements de l’Assurance Maladie,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,ugecamunionpourlagestiondesétablissementsdelassurancemaladie
6285,UGIVC,Unité Gendarmerie d'Identification de Victimes de Catastrophes,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,ugivcunitégendarmeriedidentificationdevictimesdecatastrophes
6287,UGPS,Unités de Garde des Points Sensibles,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,ugpsunitésdegardedespointssensibles
6288,UHF,Ultra High Frequency,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,uhfultrahighfrequency
5458,UHP,Union hospitalière privée,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,uhpunionhospitalièreprivée
5459,UHR,Unité D’hébergement Renforcée,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,uhrunitédhébergementrenforcée
5460,UHSA,Unité D’hospitalisation Spécialement Aménagée,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,uhsaunitédhospitalisationspécialementaménagée
